用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
11474,WordPress(#13),探索式测试-杨天莹(#362),（地标测试法）对主页顶部导航栏进行测试,进入主页面,"1. 点击顶部“MyWork”图标
2. 点击浏览器“后退”箭头
3. 点击评论“气泡”
4. 点击浏览器“后退”箭头
5. 点击“新建”加号
6. 点击浏览器“后退”箭头
7. 点击“自定义”链接
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
",通过,杨天莹,2018/12/14,0000-00-00
11473,WordPress(#13),探索式测试-杨天莹(#362),（破坏测试法）对插件模块进行破坏,进入后台界面,"1. 点击插件
2. 点击已安装插件
3. 点击第一个插件的“启用”-再点击“停用”-重复20次
","1. 
2. 
3. 
",通过,杨天莹,2018/12/14,0000-00-00
11472,WordPress(#13),探索式测试-杨天莹(#362),（反叛测试）对设置模块进行测试,进入设置界面,"1. 点击左侧菜单栏“设置”
2. 点击下方“阅读”
3. 将博客页面之多显示设置成“0”
4. 将博客页面之多显示设置成“99999999999999999999”
5. 点击保存更改
","1. 
2. 
3. 
4. 
5. 
",通过,杨天莹,2018/12/14,0000-00-00
11471,WordPress(#13),探索式测试-杨天莹(#362),（配角测试法）对主页面顶部的自定义进行测试,进入主页面,"1. 点击顶部“自定义”
2. 点击第一栏“激活主题”
3. 对第二个主题进行“实时预览”
4. 想要返回上一 界面点击浏览器菜单栏的“后退”箭头
","1. 
2. 
3. 
4. 预期返回上一 界面，但是返回到主界面
",通过,杨天莹,2018/12/14,0000-00-00
11468,WordPress(#13),探索式测试-史素佳(#359),（配角测试法）验证链接是否可正常使用,已登录，用户具有用户权限,"1. 点击导航栏中的用户
2. 点击最下方的感谢使用WordPress进行创作中的“WordPress”超链接
3. 点击WordPress 5.0.1现已可用！请现在更新中的超链接
","1. 
2. 跳转到WordPress中文官方网站
3. 
",通过,史素佳,2018/12/14,2018/12/15
11467,WordPress(#13),探索式测试-卢丹琦(#360),运用破坏测试法对分类目录页面进行测试,,"1. 在添加新分类目录时不填写名称和别名，点击“添加新分类目录”按钮
2. 在添加新分类目录时不填写名称，点击“添加新分类目录”按钮
3. 在添加新分类目录时不填写别名，点击“添加新分类目录”按钮
4. 在添加新分类目录时别名含有中文，点击“添加新分类目录”按钮
","1. 
2. 
3. 
4. 
",失败,卢丹琦,2018/12/14,0000-00-00
11466,WordPress(#13),探索式测试-韦士杰(#363),（深巷测试）验证“设置”的“常规选项”功能,成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“设置”下拉框中的“常规”按键
2. 将新用户默认角色由“订阅者”改为“管理员”
3. 点击“保存更改”按键
4. 点击左侧菜单栏“用户”下拉框中的“添加用户”按键
5. 检查添加用户界面的初始角色选项
","1. 进入“常规选项”界面
2. 修改成功
3. 保存成功；返回：设置已保存。
4. 进入“添加用户”界面
5. 初始角色选项为‘“管理员”
",通过,韦士杰,2018/12/14,0000-00-00
11465,WordPress(#13),探索式测试-沈梦琪(#361),（深巷测试法）验证菜单的实时预览管理功能,登录到WordPress中的管理页面，媒体库中存在图像,"1. 菜单的实时预览功能
1.1. 选择外观菜单栏下的菜单子选项
1.2. 单击菜单标题右侧的“使用实时预览管理”
","1. 
1.1. 
1.2. 跳转至自定义菜单页面
",通过,沈梦琪,2018/12/14,0000-00-00
11464,WordPress(#13),探索式测试-杨天莹(#362),（通宵测试法）重复点击登录按钮20次,进入登录界面,"1. 用户名输入yty
2. 密码输入12345678
3. 重复点击“登录”按钮20次
","1. 
2. 
3. 
",通过,杨天莹,2018/12/14,2018/12/14
11463,WordPress(#13),探索式测试-沈梦琪(#361),（配角测试法）验证主题的搜索、预览与筛选功能,登陆到wordpress中的管理页面,"1. 预览主题
1.1. 选择外观菜单栏下的主题子选项
1.2. 鼠标滑过非正在应用的主题，单击右下角出现的实时预览按钮
2. 搜索主题
2.1. 选择外观菜单栏下的主题子选项
2.2. 在搜索框中输入一个已安装的主题的名称
3. 筛选主题
3.1. 选择外观菜单栏下的主题子选项
3.2. 单击添加
3.3. 单击筛选特性，选择1-2个特性，单击应用过滤器
4. 预览时主题的切换
4.1. 进行步骤1
4.2. 单击左上方向左向右的方向箭头（若预览的是第一个主题，则向左的箭头标灰，无法点击，若预览的是最后一个主题，则向有右的箭头标灰，无法点击）
","1. 
1.1. 
1.2. 页面跳转至主题预览页面
2. 
2.1. 
2.2. 该主题被找出
3. 
3.1. 
3.2. 跳转至添加主题页面
3.3. 出现筛选条件，符合选中特性的主题被找出
4. 
4.1. 
4.2. 点击向左箭头时，跳转到上一个页面的预览；点击向右的箭头时，跳转到下一个页面的预览
",通过,沈梦琪,2018/12/14,2018/12/14
11462,WordPress(#13),探索式测试-卢丹琦(#360),运用取消测试法对分类目录页面进行测试,已存在目录“日志”目录,"1. 在搜索框搜索“日志”，点击“搜索分类目录”后立刻点击返回按钮
2. 鼠标滑到标题上，点击编辑后立刻点击返回按钮
3. 鼠标滑到标题上，点击快速编辑后立刻点击返回按钮
4. 鼠标滑到标题上，点击移至回收站后立刻点击返回按钮
5. 鼠标滑到标题上，点击查看后立刻点击返回按钮
6. 执行批量操作的删除，点击“应用”按钮后立刻点击返回按钮
7. 在添加新目录时点击“添加新分类目录”按钮后立刻点击返回按钮
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
",通过,卢丹琦,2018/12/14,0000-00-00
11461,WordPress(#13),探索式测试-岳哲伟(#364),（反叛测试法）测试设置中的媒体设置,登录，打开设置中的媒体,"1. 将图像大小中的缩略图大小，中等大小，大尺寸的参数都设置为0（图片的长宽高不能为0）
","1. 设置不可以保存
",失败,岳哲伟,2018/12/14,0000-00-00
11460,WordPress(#13),探索式测试-卢丹琦(#360),运用超模测试法对分类目录页面进行测试,已存在目录“日志”目录,"1. “批量操作”下拉菜单和“应用”按钮在同一页面作为同一功能出现了两次，比较冗余
2. 汉化后的部分提示语句还不太通顺
","1. 
2. 
",通过,卢丹琦,2018/12/14,0000-00-00
11459,WordPress(#13),探索式测试-卢丹琦(#360),运用通宵测试法对分类目录页面进行测试,已存在目录“日志”目录,"1. 把分类目录“日志”移至回收站，再点击撤销，重复此操作二十次
2. 查看分类目录“日志”，再点击返回，重复此操作二十次
3. 编辑分类目录“日志”，再点击返回，重复此操作二十次
4. 快速编辑分类目录“日志”，再点击返回，重复此操作二十次
5. 点击“名称”上方排序按钮，重复此操作二十次
6. 点击“图像描述”上方排序按钮，重复此操作二十次
7. 点击“别名”上方排序按钮，重复此操作二十次
8. 点击“总数”上方排序按钮，重复此操作二十次
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
",失败,卢丹琦,2018/12/14,0000-00-00
11458,WordPress(#13),探索式测试-刘江(#365),（极限测试法)测试更新已发布页面功能,登录成功，至少有一个已发布页面,"1. 选择一个已发布页面，点击编辑
2. 点击标题添加test，点击内容添加文字测试，点击更新
3. 重复上面操作50次
","1. 
2. 
3. 
",通过,刘江,2018/12/14,0000-00-00
11457,WordPress(#13),探索式测试-岳哲伟(#364),（配角测试法）设置中固定链接的测试,登录打开设置中的固定链接,"1. 将于文章查看紧密相关的自定义结构改为%upup%（可保存但不合法）
2. 打开一篇已发布的文章如世界，你好，查看
","1. 
2. Bad Request
Your browser sent a request that this server could not understand.
",通过,岳哲伟,2018/12/14,0000-00-00
11456,WordPress(#13),探索式测试-杨天莹(#362),（取消测试）对评论回复进行发表和取消,进入主页面,"1. 点击“渔舟唱晚”文章标题
2. 对第一条评论进行回复
3. 在评论框输入“我很喜欢”
4. 点击上方“取消回复”
5. 再点击“回复”
6. 点击“发表评论”按钮
","1. 
2. 
3. 
4. 
5. 
6. 
",通过,杨天莹,2018/12/14,0000-00-00
11454,WordPress(#13),探索式测试-刘江(#365),（极限测试法）测试新建页面功能,登录成功，进入新建页面，媒体库中有图片、音频和视频文件,"1. 点击输入标题，输入一段文字，重复输入50次该文字
2. 点击添加媒体，选择一张图片，点击插入至页面，重复该操作50次
3. 点击添加媒体，选择一个音频文件，点击插入至页面，重复该操作50次
4. 点击添加媒体，选择一个视频文件，点击插入至页面，重复该操作50次
","1. 
2. 
3. 
4. 
",通过,刘江,2018/12/14,2018/12/16
11453,WordPress(#13),探索式测试-岳哲伟(#364),（反叛测试法）测试固定链接的自定义结构,登录，打开设置的固定链接找到自定义结构,"1. 在自定义结构一栏输入upup
2. 在自定义结构一栏输入%upup%
3. 在自定义结构一栏输入%%%
4. 在自定义结构一栏输入/%测试%
","1. 自定义永久链接需要一个结构化标签
2. 固定链接结构已更新。
3. 自定义永久链接需要一个结构化标签
4. 固定链接结构已更新
",通过,岳哲伟,2018/12/14,0000-00-00
11452,WordPress(#13),探索式测试-杨天莹(#362),（深巷测试法）工具模块的操作,进入后台界面,"1. 点击左侧“工具”链接
2. 点击下方的“导入”
3. 运行“Blogger导入器”-导入文件
","1. 
2. 
3. 
",通过,杨天莹,2018/12/14,0000-00-00
11451,WordPress(#13),探索式测试-岳哲伟(#364),（强迫测试法）测试设置中的保存更改按钮,登录，进入设置界面，打开常规,"1. 连续点击常规下方的保存更改按钮
","1. 
",通过,岳哲伟,2018/12/14,2018/12/14
11450,WordPress(#13),探索式测试-沈梦琪(#361),（指南测试法、配角测试法）验证背景的设置功能,登录到WordPress中的管理页面，媒体库中存在图像,"1. 设置背景图片位置
1.1. 选择外观菜单栏下的背景子选项
1.2. 单击选择图像按钮
1.3. 选择媒体库中的一张图片，单击选择图像
1.4. 单击每一个图片位置的方向按键
1.5. 点击发布
2. 移除已发布的图片
2.1. 选择外观菜单栏下的背景子选项
2.2. 单击图片下方的移除按钮
2.3. 单击发布
","1. 
1.1. 页面跳转至自定义背景图像界面
1.2. 
1.3. 
1.4. 右侧预览框随位置方向的改变而变化
1.5. 提示：已发布
2. 
2.1. 页面跳转至自定义背景图像界面
2.2. 右侧预览框的背景图片隐藏
2.3. 更改保存，提示：已发布
",通过,沈梦琪,2018/12/14,2018/12/14
11449,WordPress(#13),探索式测试-刘江(#365),（破坏测试法）测试在断网情况下能否对页面进行编辑，快速编辑，移至回收站和查看功能,登录成功，进入页面模块，至少有一个页面，断开网络,"1. 随机选择一个页面，点击编辑选项
2. 随机选择一个页面，点击快速编辑选项
3. 随机选择一个页面，点击移至回收站选项
4. 随机选择一个页面，点击查看选项
","1. 
2. 
3. 
4. 
",通过,刘江,2018/12/14,0000-00-00
11448,WordPress(#13),探索式测试-杨天莹(#362),（测一送一）测试同一用户同时在两个浏览器发布同一文章的功能,在两个浏览器下登录同一用户,"1. 在火狐和谷歌浏览器点击“新建”-“文章”
2. 在火狐和谷歌浏览器的文章标题处输入“两个文章同时发布”
3. 同时点击两个浏览器的“发布”按钮
","1. 
2. 
3. 
",通过,杨天莹,2018/12/14,0000-00-00
11447,WordPress(#13),探索式测试-刘江(#365),（破坏测试法）在断网情况下测试能否保存草稿页面内,登录成功，进入新建页面，断网,"1. 输入标题，输入内容，点击保存草稿
","1. 
",通过,刘江,2018/12/14,0000-00-00
11446,WordPress(#13),探索式测试-杨天莹(#362),（超模测试法）搜索界面测试,进入主页面，不存在包含“office”的文章标题,"1. 在主页面的搜索框中输入“office”
2. 点击搜索
","1. 
2. 又出现一个搜索框，两个搜索框显得多余
",通过,杨天莹,2018/12/14,0000-00-00
11445,WordPress(#13),探索式测试-杨天莹(#362),（超模测试法）主页外观测试,进入主页面，用yty管理员身份登录,"1. 点击《渔舟唱晚》
2. 评论框上面有 “已登出为yty。登出？”
","1. 
2. 此行文字多余，影响外观
",通过,杨天莹,2018/12/14,0000-00-00
11444,WordPress(#13),探索式测试-沈梦琪(#361),（指南测试法）验证设置顶部样式功能,登陆到wordpress中的管理页面,"1. 上传顶部图像
1.1. 选择外观菜单栏下的顶部子选项
1.2. 单击添加新图像按钮
1.3. 单击上传文件中的选择文件按钮
1.4. 在本地文件中选择一个小于32M的图像，单击打开
1.5. 单击选择并剪裁
1.6. 对图像进行裁剪
1.7. 单击裁剪图像按钮
1.8. 单击发布按钮
","1. 
1.1. 跳转至自定义顶部图像页面
1.2. 
1.3. 弹出选择本地文件框
1.4. 媒体库中出现选中图片
1.5. 
1.6. 
1.7. 右侧预览页面出现该顶部图像的预览效果
1.8. 提示：已发布
",通过,沈梦琪,2018/12/14,0000-00-00
11443,WordPress(#13),探索式测试-杨天莹(#362),（快递测试）用户被删除后，其文章能否显示,用户XiaoHong已被注册并发布文章,"1. 以管理员身份登录
2. 删除用户 XiaoHong
3. 返回首页看其文章是否还存在
","1. 
2. 
3. 
",通过,杨天莹,2018/12/14,2018/12/14
11442,WordPress(#13),探索式测试-杨天莹(#362),（极限测试）测试忘记密码的情况下的登录,进入登录界面,"1. 用户名输入yty
2. 点击“忘记密码”链接
3. 输入yty的用户名
4. 点击“获取新密码”按钮
","1. 
2. 
3. 
4. 
",通过,杨天莹,2018/12/14,0000-00-00
